TabletID,PersonalName,Translated
P107256,szeg9-bar,Szegbar[1][-ra]
P107256,dara3,_
P107256,ha-bu-um,_
P107256,az,_
P107256,zu2-ga-li-ta,_
P107256,{d}szul-gi-iri-mu,Szulgi'irimu[1][-e]
P107256,ba-ba-ti,Babati[1][-ak][-ø]
P107256,e2-tum,bitum[administrative_term]
P107256,ba-ba-ti,Babati[1][-ak][-ø]
P107256,a-...,_[_]
P107256,x-...,_[_]
P107256,ma-da-x,_
P107256,...,_[_]
P107256,a-ga-...-im,_
P107256,x-x,_[_]
P107256,ARAD2-da-ni-ir,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ab-ba-mu,Abbamu[1][-ak][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,a-gesztin-ta,_
P110592,lu2-{d}na-ru2-a,_
P110592,ab-ba-mu,Abbamu[1][-ak][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}nanna-ta,_
P110592,szuku-ra,szukur[ration]-ak
P110592,lu2-{d}na-ru2-a,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,{d}utu-si-sa2,_
P110592,lu2-{d}na-ru2-a,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ur-nigar{gar},Urnigar[1]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,lu2-{d}nin-szubur,Luninszubur[1][-ra]
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ur-nigar{gar},Urnigar[1]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ab-ba-mu-ta,Abbamu[1][-ak]-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,{d}na-ru2-a-kam,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,ur-dub-szen,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ur-{d}esz3-du10-nun,_
P110592,{d}na-ru2-a-kam,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,lu2-{d}nin-szubur,Luninszubur[1][-ra]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ku-li,Kuli[1]
P110592,lu2-{d}nin-szubur,Luninszubur[1][-ra]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,ur-{d}nin-x,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,...,_[_]
P110592,ur-x,_
P110592,...,_[_]
P110592,lu2-hu-rim3{ki},_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,lu2-{d}na-ru2-a,_
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ab-ba-mu,Abbamu[1][-ak][-ak]
P110592,lu2-hu-rim3{ki},_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,ur-{d}nansze,Urnansze[1]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,...,_[_]
P110592,ur-{d}...,_[1][-ra]
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,...,_[_]
P110592,ur-{d}ab-u2,_
P110592,ur-{d}nansze,Urnansze[1]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,lu2-{d}na-ru2-a-ta,_
P110592,hu-ru,_
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,...,_[_]
P110592,lu2-{d}na-ru2-a-ta,_
P110592,...,_[_]
P110592,lugal-ezem,Lugalezem[1]
P110592,dumu-gu4-gur,dumugugur[worker][-ak]
P110592,...,_[_]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,...,_[_]
P110592,...,_[_]
P110592,...,_[_]
P110592,...,_[_]
P110592,...,_[_]
P110592,hu-ru,_
P110592,...,_[_]
P110592,sza3-bi-ta,szag[heart]-bi-ta
P110592,...,_[_]
P110592,...,_[_]
P110592,...,_[_]
P110592,lu2-{d}na-ru2-a-ta,_
P110592,...,_[_]
P110592,ur-mes,Urmes[1]
