mu ur-dnamma lugal,ur-namma 1,1
mu ur-dnamma lugal-e sig-ta igi-nim-se3 giri3 si bi2-sa2-a,ur-namma 2,2
mu ur-{d}namma nig2-si-sa2 kalam-ma mu-ni-gar,ur-namma 3,3
mu en-dinanna unuki-a dumu ur-dnamma lugal-a mas-e ba-pa3-da,ur-namma 4,4
mu bad3 uri2ki ba-du3-a,ur-namma 5,5
mu lugal-e nibruki-ta nam-lugal su ba-ti-a,ur-namma 6,6
mu e2 dnanna ba-du3-a,ur-namma 7,7
mu en dnanna mas-e ba-pa3-da,ur-namma 8,8
mu i7-a-dnin-tu ba-al,ur-namma 9,9
mu nin-dingir diskur mas-e pa3-da,ur-namma 10,10
mu gu-ti-umki ba-hul,ur-namma 11,11
mu e2 dnin-sun2 uri2ki-a ba-du3-a,ur-namma 12,12
mu e2 den-lil2-la2 ba-du3-a,ur-namma 13,13
mu i7-en-erin2-nun ba-ba-al-la,ur-namma 14,14
mu gesgigir dnin-lil2 ba-dim2-ma,ur-namma 15,15
mu dlugal-ba-gara2 e2-a-na ku4-ra,ur-namma 16,16
mu dlugal-ba-gara2 e2-a ku4-ra us2-sa,ur-namma 17,17
mu sul-gi lugal,sulgi 1,18
mu us2 e2 dnin-gubalag ki ba-a-gar,sulgi 2,19
mu sul-gi lugal uri2ki-ma-ke4 gesgu-za za-gin3 den-lil2-ra i-na-ku4-ra,sulgi 3,20
mu us2 e2-dnin-urta ki ba-a-gar,sulgi 4,21
mu us2 e2-dnin-urta us2-sa,sugli 5a,22
mu bad3 gal e2-an-na ba-du3-a,sulgi 5b,22
mu lugal-e giri3 nibruki si bi2-sa2-a,sulgi 6,23
mu lugal-e uri2ki-ta nibruki-se3 su in-nigin2,sulgi 7,24
mu ma2-gur8 dnin-lil2-la2 ba-ab-du8,sulgi 8,25
mu ma2 dnin-lil2-la2-ke4 us2-sa,sulgi 9a,26
mu dnanna kar-zi-daki e2-a-ni ku4,sulgi 9b,26
mu e2-hur-sag lugal ba-du3,sulgi 10,27
mu distaran bad3-anki derki e2-a-na ba-ku4,sulgi 11,28
mu dnu-mus-da ka-zal-luki e2-a-na ba-ku4,sulgi 12,29
mu e2-hal-bi lugal ba-du3,sulgi 13,30
mu dnanna nibruki e2-a ba-ku4,sulgi 14,31
mu en-nir-si2-an-na en-dnanna mas2-e i3-pa3,sulgi 15,32
mu gesna2 dnin-lil2-la2 ba-dim2,sulgi 16,33
mu gesna2 dnin-lil2-la2 us2-sa,sulgi 17a,34
mu en-nir-si2-an-na en-dnanna ba-hun-ga2,sulgi 17b,34
mu li2-wir-mi-ta2-su dumu-munus lugal nam-nin mar-ha-siki-se3 ba-il2,sulgi 18,35
mu EZENxKU3ki bad3ki ki-be2 ba-ab-gi4,sulgi 19,36
mu dnin-hur-sag-ga2 nu-tur e2-a-na ba-an-ku4,sulgi 20a,37
mu dumu uri2ki-ma lu2 gesgid2-se3 ka ba-ab-kes2,sulgi 20b,37
mu dnin-urta ensi2 gal den-lil2-la2-ke4 es-bar kin ba-an-du11-ga a-sa3 nig2-ka9 den-lil2 dnin-lil2-ra si bi2-in-sa2-sa2-a,sulgi 21a,38
mu dnin-urta ensi2 gal den-lil2-la2-ke4 e2 den-lil2 dnin-lil2-la2-ke4 es-bar kin ba-an-du11-ga dsul-gi lugal uri5ki-ma-ke4 gan2 nig2-ka9 sa3 e2 den-lil2 dnin-lil2-la2-ke4 si bi2-sa2-a,sulgi 21b,38
mu BAD3-ANki (= Der) ba-hul,sulgi 21c,38
mu nig2-ka9 ak al-la,sulgi 21d,38
mu us2-sa dnin-urta ensi2 gal den-lil2-la2-ke4 e2-den-lil2 dnin-lil2-la2-ke4 es-bar kin ba-an-du11-ga dsul-gi lugal uri2ki-ma-ke4 gan2 nig2-ka9 sa3 e2 den-lil2 dnin-lil2-la2-ke4 si bi2-sa2-a,sulgi 22a,39
mu us2-sa bad3-anki derki ba-hul,sulgi 22b,39
mu nig2-ka9 ak al-la-ke4 mu us2-sa-bi,sulgi 22c,39
mu us2-sa nig2-ka9-ak al-la-ka mu us2-sa-bi,sulgi 23a,40
mu dsul-gi lugal-e a2 mah den-lil2 sum-ma-ni,sulgi 23b,40
mu kar2-harki ba-hul,sulgi 24,41
mu us2-sa kar2-harki ba-hul,sulgi 25a,42
mu si-mu-ru-umki ba-hul,sulgi 25b,42
mu us2-sa si-mu-ru-umki ba-hul,sulgi 26a,43
mu si-mu-ru-umki a-ra2 2-kam-ma-as ba-hul,sulgi 26b,43
mu sul-gi nita kal-ga lugal an ub-da limmu2-ba-ke4 si-mu-ur4-umki a-ra2 2-kam-as mu-hul-a mu us2-sa-bi,sulgi 27a,44
mu ha-ar-siki ba-hul,sulgi 27b,44
mu en nam-sita4 dsul-gi-ra-ke4 ba-gub-ba-se3 sud3-sag en-den-ki eriduki-ga dumu sul-gi nita kal-ga lugal uri2ki-ma lugal an ub-da limmu2-ba-ke4 ba-a-hun,sulgi 28a,45
mu en-nam-sita4 dsul-gi-ra-ke4 ba-gub en-den-ki eriduki-ga dumu dsul-gi nita kal-ga lugal uri2ki-ma lugal an ub-da limmu2-ba-ka ba-a-hun,sulgi 28b,45
