TabID,Provenience
P121703,Umma (mod. Tell Jokha)
P121704,Umma (mod. Tell Jokha)
P121705,Umma (mod. Tell Jokha)
P121706,Umma (mod. Tell Jokha)
P121707,Umma (mod. Tell Jokha)
P121708,Umma (mod. Tell Jokha)
P121709,Umma (mod. Tell Jokha)
P121710,Umma (mod. Tell Jokha)
P121711,Umma (mod. Tell Jokha)
P121712,Umma (mod. Tell Jokha)
P121713,Umma (mod. Tell Jokha)
P121714,Umma (mod. Tell Jokha)
P121715,Umma (mod. Tell Jokha)
P121716,Puzriš-Dagan (mod. Drehem)
P121717,Umma (mod. Tell Jokha)
P121718,Umma (mod. Tell Jokha)
P121719,Umma (mod. Tell Jokha)
P121720,Umma (mod. Tell Jokha)
P121721,Puzriš-Dagan (mod. Drehem)
P121722,Umma (mod. Tell Jokha)
P121723,Umma (mod. Tell Jokha)
P121724,Umma (mod. Tell Jokha)
P121725,Umma (mod. Tell Jokha)
P121726,Umma (mod. Tell Jokha)
P121727,Umma (mod. Tell Jokha)
P121728,Umma (mod. Tell Jokha)
P121729,Umma (mod. Tell Jokha)
P121730,Umma (mod. Tell Jokha)
P121731,Umma (mod. Tell Jokha)
P121732,Umma (mod. Tell Jokha)
P121733,Umma (mod. Tell Jokha)
P121734,Umma (mod. Tell Jokha)
P121735,Umma (mod. Tell Jokha)
P121736,Umma (mod. Tell Jokha)
P121737,Umma (mod. Tell Jokha)
P121738,Umma (mod. Tell Jokha)
P121739,Umma (mod. Tell Jokha)
P121740,Umma (mod. Tell Jokha)
P121741,Umma (mod. Tell Jokha)
P121742,Umma (mod. Tell Jokha)
P121743,Umma (mod. Tell Jokha)
P121744,Umma (mod. Tell Jokha)
P121745,Umma (mod. Tell Jokha)
P121746,Umma (mod. Tell Jokha)
P121747,Umma (mod. Tell Jokha)
P121748,Umma (mod. Tell Jokha)
P121749,Umma (mod. Tell Jokha)
P121750,uncertain (mod. uncertain)
P121751,Puzriš-Dagan (mod. Drehem)
P121752,Umma (mod. Tell Jokha)
P121753,Umma (mod. Tell Jokha)
P121754,Umma (mod. Tell Jokha)
P121755,Umma (mod. Tell Jokha)
P121756,Umma (mod. Tell Jokha)
P121757,Umma (mod. Tell Jokha)
P121758,Umma (mod. Tell Jokha)
P121759,Umma (mod. Tell Jokha)
P121760,Umma (mod. Tell Jokha)
P121761,Puzriš-Dagan (mod. Drehem)
P121762,Umma (mod. Tell Jokha)
P121763,Puzriš-Dagan (mod. Drehem)
P121764,Umma (mod. Tell Jokha)
P121765,Puzriš-Dagan (mod. Drehem)
P121766,Puzriš-Dagan (mod. Drehem)
P121767,Girsu (mod. Tello)
P121768,Girsu (mod. Tello)
P121769,Girsu (mod. Tello)
P121770,Girsu (mod. Tello)
P121771,Girsu (mod. Tello)
P121772,Girsu (mod. Tello)
P121773,uncertain (mod. uncertain)
P121774,Umma (mod. Tell Jokha)
P121775,Umma (mod. Tell Jokha)
P121776,Umma (mod. Tell Jokha)
P121777,Umma (mod. Tell Jokha)
P121778,Umma (mod. Tell Jokha)
P121779,Umma (mod. Tell Jokha)
P121780,Umma (mod. Tell Jokha)
P121781,Umma (mod. Tell Jokha)
P121782,Umma (mod. Tell Jokha)
P121783,Umma (mod. Tell Jokha)
P121784,Umma (mod. Tell Jokha)
P121785,Umma (mod. Tell Jokha)
P121786,Umma (mod. Tell Jokha)
P121787,Umma (mod. Tell Jokha)
P121788,Umma (mod. Tell Jokha)
P121789,Umma (mod. Tell Jokha)
P121790,Umma (mod. Tell Jokha)
P121791,Umma (mod. Tell Jokha)
P121792,Umma (mod. Tell Jokha)
P121793,Umma (mod. Tell Jokha)
P121794,Umma (mod. Tell Jokha)
P121795,Umma (mod. Tell Jokha)
P121796,Umma (mod. Tell Jokha)
P121797,Umma (mod. Tell Jokha)
P121798,Umma (mod. Tell Jokha)
P121799,Umma (mod. Tell Jokha)
P121800,Umma (mod. Tell Jokha)
P121801,Umma (mod. Tell Jokha)
P121802,Umma (mod. Tell Jokha)
P121803,Umma (mod. Tell Jokha)
P121804,Umma (mod. Tell Jokha)
P121805,Umma (mod. Tell Jokha)
P121806,Umma (mod. Tell Jokha)
P121807,Umma (mod. Tell Jokha)
P121808,Umma (mod. Tell Jokha)
P121809,Umma (mod. Tell Jokha)
P121810,Umma (mod. Tell Jokha)
P121811,Umma (mod. Tell Jokha)
P121812,Umma (mod. Tell Jokha)
P121813,Umma (mod. Tell Jokha)
P121814,Umma (mod. Tell Jokha)
P121815,Umma (mod. Tell Jokha)
P121816,Umma (mod. Tell Jokha)
P121817,Umma (mod. Tell Jokha)
P121818,Umma (mod. Tell Jokha)
P121819,Umma (mod. Tell Jokha)
P121820,Umma (mod. Tell Jokha)
P121821,Umma (mod. Tell Jokha)
P121822,Umma (mod. Tell Jokha)
P121823,Umma (mod. Tell Jokha)
P121824,Umma (mod. Tell Jokha)
P121825,Umma (mod. Tell Jokha)
P121826,Umma (mod. Tell Jokha)
P121827,Umma (mod. Tell Jokha)
P121828,Umma (mod. Tell Jokha)
P121829,Umma (mod. Tell Jokha)
P121830,Umma (mod. Tell Jokha)
P121831,Umma (mod. Tell Jokha)
P121832,Umma (mod. Tell Jokha)
P121833,Umma (mod. Tell Jokha)
P121834,Umma (mod. Tell Jokha)
P121835,Umma (mod. Tell Jokha)
P121836,Umma (mod. Tell Jokha)
P121837,Umma (mod. Tell Jokha)
P121838,Umma (mod. Tell Jokha)
P121839,Umma (mod. Tell Jokha)
P121840,Umma (mod. Tell Jokha)
P121841,Umma (mod. Tell Jokha)
P121842,Umma (mod. Tell Jokha)
P121843,Umma (mod. Tell Jokha)
P121844,Umma (mod. Tell Jokha)
P121845,Umma (mod. Tell Jokha)
